id	filename	md5	size	state
bebd6581-d072-4c97-b429-618ebbb6928b	bebd6581-d072-4c97-b429-618ebbb6928b/jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-E2-A1LI-01A-12D-A161-05.txt	dfb42c94d8eb873414e1aca9d61eb3bb	21279781	validated
cbf466c0-be6d-40bf-960b-e95e775efb15	cbf466c0-be6d-40bf-960b-e95e775efb15/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E9-A1ND-01A-11D-A145-05.txt	fb6e3caa9d6462b65808d2f0cabd4668	21282183	validated
cefe4023-fd33-49ea-887b-784d1f64ee0a	cefe4023-fd33-49ea-887b-784d1f64ee0a/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1FH-01A-12D-A13K-05.txt	dd03dcba3e357b2ba9638474225fa20a	21286056	validated
d4abb632-ba49-4a6b-b212-3091d676f276	d4abb632-ba49-4a6b-b212-3091d676f276/jhu-usc.edu_BRCA.HumanMethylation450.15.lvl-3.TCGA-BH-A203-01A-12D-A16A-05.txt	5e2af9266e409734244d1f9be7dbec2d	21270594	validated
d4afdceb-a3f6-45db-97e2-78ca6d744346	d4afdceb-a3f6-45db-97e2-78ca6d744346/jhu-usc.edu_BRCA.HumanMethylation450.13.lvl-3.TCGA-E9-A1NE-01A-21D-A14N-05.txt	0a531e067b1f572e5312aeb827c98184	21282831	validated
e2464224-d105-49b3-bcb9-29a50e049189	e2464224-d105-49b3-bcb9-29a50e049189/jhu-usc.edu_BRCA.HumanMethylation450.14.lvl-3.TCGA-E2-A1LS-01A-12D-A161-05.txt	c7a9f189374e3713247105792b2c4d50	21244720	validated
e3b55a6a-6572-4a9e-9df6-6f94d14fbf4b	e3b55a6a-6572-4a9e-9df6-6f94d14fbf4b/jhu-usc.edu_BRCA.HumanMethylation450.9.lvl-3.TCGA-BH-A1ET-01A-11D-A138-05.txt	df38b819a7688e8f6d29ab66b322f268	21286268	validated
e68e4111-ac2d-48c5-93dc-33509906a7fc	e68e4111-ac2d-48c5-93dc-33509906a7fc/jhu-usc.edu_BRCA.HumanMethylation450.10.lvl-3.TCGA-BH-A1FC-01A-11D-A13K-05.txt	4a269c75c1743a27204f5ad6b733e91f	21270327	validated
e8b84278-95d2-4c2c-b986-e7b8308e8a2f	e8b84278-95d2-4c2c-b986-e7b8308e8a2f/jhu-usc.edu_BRCA.HumanMethylation450.11.lvl-3.TCGA-E2-A1LB-01A-11D-A145-05.txt	5b8b95fd73d49d48d5e4dd798b649658	21291655	validated
f00a6156-f7e6-4eb0-9b43-3f00e475f24f	f00a6156-f7e6-4eb0-9b43-3f00e475f24f/jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0C0-01A-21D-A10P-05.txt	51deffd1aa3decf268e6e21f713b7940	21255904	validated
f7ab7376-b7fc-4685-8392-ee0606c5b367	f7ab7376-b7fc-4685-8392-ee0606c5b367/jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0BA-01A-11D-A10P-05.txt	53047a8fb285deb2a118c11e470e8575	21244427	validated
fa1b75d9-969d-4d9b-91ef-78d8b23e1d34	fa1b75d9-969d-4d9b-91ef-78d8b23e1d34/jhu-usc.edu_BRCA.HumanMethylation450.3.lvl-3.TCGA-BH-A0DP-01A-21D-A10P-05.txt	7be85a610feb9e661abc37a8682c44f3	21268017	validated
